[14:26:02] [INFO] received Windows console close event; shutting log-core down
[14:28:11] [INFO] received Windows console close event; shutting log-core down
[14:42:32] [INFO] received Windows console close event; shutting log-core down
[14:44:55] [INFO] received Windows console close event; shutting log-core down
[15:10:45] [INFO] received Windows console close event; shutting log-core down
[17:17:19] [INFO] received Windows console close event; shutting log-core down
[17:20:27] [INFO] received Windows console close event; shutting log-core down
[17:22:09] [INFO] received Windows console close event; shutting log-core down
[17:24:41] [INFO] received Windows console close event; shutting log-core down
[17:25:51] [INFO] received Windows console close event; shutting log-core down
[17:27:51] [INFO] received Windows console close event; shutting log-core down
[17:28:54] [INFO] received Windows console close event; shutting log-core down
[17:30:26] [INFO] received Windows console close event; shutting log-core down
[17:43:40] [INFO] received Windows console close event; shutting log-core down
[17:45:20] [INFO] received Windows console close event; shutting log-core down
[17:51:54] [INFO] received Windows console close event; shutting log-core down
[17:53:03] [INFO] received Windows console close event; shutting log-core down
[17:54:05] [INFO] received Windows console close event; shutting log-core down
[17:54:56] [INFO] received Windows console close event; shutting log-core down
[17:56:28] [INFO] received Windows console close event; shutting log-core down
[17:57:43] [INFO] received Windows console close event; shutting log-core down
[17:58:38] [INFO] received Windows console close event; shutting log-core down
[17:59:26] [INFO] received Windows console close event; shutting log-core down
[18:01:49] [INFO] received Windows console close event; shutting log-core down
[18:14:48] [INFO] received Windows console close event; shutting log-core down
[18:20:50] [INFO] received Windows console close event; shutting log-core down
[18:21:18] [INFO] received Windows console close event; shutting log-core down
[19:18:20] [INFO] received Windows console close event; shutting log-core down
[22:27:07] [INFO] received Windows console close event; shutting log-core down
[18:56:50] [INFO] received Windows console close event; shutting log-core down
[18:58:31] [INFO] received Windows console close event; shutting log-core down
[19:29:40] [INFO] received Windows console close event; shutting log-core down
[19:31:49] [INFO] received Windows console close event; shutting log-core down
[19:45:16] [INFO] received Windows console close event; shutting log-core down
[19:46:11] [INFO] received Windows console close event; shutting log-core down
[19:46:51] [INFO] received Windows console close event; shutting log-core down
[19:57:25] [INFO] received Windows console close event; shutting log-core down
[20:01:11] [INFO] received Windows console close event; shutting log-core down
[20:02:01] [INFO] received Windows console close event; shutting log-core down
[20:02:45] [INFO] received Windows console close event; shutting log-core down
[22:47:22] [INFO] received Windows console close event; shutting log-core down
[22:48:47] [INFO] received Windows console close event; shutting log-core down
[22:51:19] [INFO] received Windows console close event; shutting log-core down
[00:27:17] [INFO] received Windows console close event; shutting log-core down
[00:27:46] [INFO] received Windows console close event; shutting log-core down
[01:38:19] [INFO] received Windows console close event; shutting log-core down
[14:42:45] [INFO] received Windows console close event; shutting log-core down
